taxon,num.trees,mtry,min.node.size,max.depth,min.bucket,sensitivity,specificity,false_pos_rate,accuracy,tss,orss,oob
Ameletus,500,6,1,Inf,1,1,0.990802139037433,0.033590653035677,0.966708023159636,0.990802139037433,1,0.0309139784946237
Chaetocladius,500,6,50,Inf,1,0.912087912087912,0.981293666892044,0.148278560250391,0.852777243897751,0.893381578979956,0.966993789563637,0.137612915625601
Chelicorophium,500,6,50,20,5,0.869955156950673,0.965808953119492,0.0632478632478632,0.934299357813272,0.835764110070165,0.980015830888858,0.0680059278774905
Cordulegaster,500,6,100,5,10,0.775743707093821,0.935132032146958,0.169442556084296,0.826767916468913,0.710875739240779,0.888615987583212,0.167615883562727
Drusus,500,6,5,5,20,0.891666666666667,0.928966585527772,0.24713055954089,0.761287061994609,0.820633252194438,0.923296938557054,0.234838274932615
Ecnomus,500,6,100,3,1,0.843243243243243,0.96106813077115,0.191645675902603,0.809658516872095,0.804311374014394,0.915575232808223,0.19185694079612
Elodes,500,6,1,5,20,0.852941176470588,0.856435643564356,0.314851485148515,0.705061082024433,0.709376820034945,0.853172038045988,0.303926701570681
Halesus,500,6,1,Inf,20,0.86405529953917,0.642942156629374,0.357057843370626,0.707596429172983,0.506997456168544,0.839291794347974,0.29186320754717
Nectoporus,500,6,5,5,10,0.848557692307692,0.926227795193312,0.174674115456238,0.826996197718631,0.774785487501005,0.927205760074896,0.180003456619426
